tweet_created_at,tweet_favorite_count,tweet_in_reply_to_user_id,tweet_retweet_count,user_created_at,user_default_profile,user_default_profile_image,user_favourites_count,user_followers_count,user_friends_count,user_geo_enabled,user_has_extended_profile,user_id,user_listed_count,user_location,user_statuses_count,user_name,user_screen_name
Fri Sep 07 16:08:00 +0000 2018,0,25073877 ,0,Tue May 07 03:14:30 +0000 2013,1,0,666,7,58,0,0,1409302226 ,0,,375,Ling Sue,Ling_823
Fri Sep 07 16:07:47 +0000 2018,1,452467476 ,1,Wed Feb 25 17:26:43 +0000 2015,1,0,17742,553,453,1,1,3062727202 ,3,,5891,ABizzle,nobody_likeAB
Fri Sep 07 16:07:31 +0000 2018,0,45055696 ,0,Wed Dec 16 06:57:22 +0000 2015,1,0,4513,204,94,1,0,4500333437 ,43,"Johannesburg, South Africa",18708,孝邪ü邪泄,TauKamfinsa
Fri Sep 07 16:06:58 +0000 2018,3,820363149073416000 ,2,Sun Feb 26 11:52:30 +0000 2017,0,0,29131,4565,4501,1,1,835819827335950000 ,11,"Florida, USA",71850,Samus Aran,SamusAran2020
Fri Sep 07 16:06:20 +0000 2018,0,472314695 ,0,Mon Jan 23 20:36:05 +0000 2012,1,0,53491,1110,794,1,0,472314695 ,104,,139529,Occupy_FL_HOAs,Occupy_FL_HOA
Fri Sep 07 16:06:15 +0000 2018,0,25073877 ,0,Tue May 09 01:33:15 +0000 2017,1,0,5111,236,705,0,0,861755916667846000 ,5,"Liberal California, USA",, Debra Farinha 佛番False,2876
Fri Sep 07 16:05:59 +0000 2018,0,25073877 ,0,Fri Jul 01 18:40:32 +0000 2011,0,0,29900,1305,2864,0,0,327536887 ,18,,," 154]""",en
Fri Sep 07 16:04:03 +0000 2018,0,25073877 ,0,Sat Feb 19 20:28:23 +0000 2011,0,0,16,141,565,1,0,254697790 ,0,"TheWai, Id",92,PistolPete McCormack,Pist6l
Fri Sep 07 16:02:53 +0000 2018,0,415859364 ,0,Fri Mar 27 14:37:03 +0000 2009,1,0,190,123,866,0,0,27015810 ,3,,164,Coconutjen,CoconutJen
Fri Sep 07 16:02:13 +0000 2018,0,25073877 ,0,Sat Dec 03 04:15:25 +0000 2016,1,0,85288,1220,1193,0,0,804901830438297000 ,6,,56338,thac0_salad ,thac0_salad
Fri Sep 07 16:00:07 +0000 2018,0,20575752 ,0,Wed Jul 24 19:51:48 +0000 2013,1,0,716,38,169,0,1,1618522933 ,2,Harlem,1444,DJ Notorious GD,notoriousghostd
Fri Sep 07 15:59:05 +0000 2018,0,415859364 ,0,Fri Oct 31 19:00:23 +0000 2008,0,0,4508,996,189,1,0,17090188 ,59,Where Hip Hop + Academe meet,24859,OnyxScholar,DrBHotchkins
Fri Sep 07 15:58:40 +0000 2018,0,803694179079458000 ,0,Sat Jan 21 16:10:44 +0000 2017,1,0,142703,1073,508,0,1,822838851961950000 ,0,,32551,Sheila_ #USAinDistress #FamiliesBelong.org #Resist,Sheilal_l_smith
Fri Sep 07 15:58:08 +0000 2018,3,871952123361153000 ,1,Wed Jul 06 03:48:21 +0000 2016,1,1,2596,42,209,0,0,750536838188785000 ,0,,931,T-Lo,tloordden
Fri Sep 07 15:57:59 +0000 2018,0,971093594256756000 ,0,Sat Oct 22 13:24:55 +0000 2011,1,0,2142,209,559,1,1,395919098 ,4,"Las Vegas, NV",1659,Ryan Griscti,RGriscti
Fri Sep 07 15:57:09 +0000 2018,0,21388225 ,0,Thu Mar 06 09:44:52 +0000 2014,1,0,2492,429,468,1,1,2387961514 ,0,"Gauteng , South Africa",,Ntuli  Nosihle筐ΜFalse,814
Fri Sep 07 15:56:52 +0000 2018,0,45055696 ,0,Mon Aug 31 17:40:39 +0000 2015,1,0,1367,44,85,1,1,3405972498 ,0,"Portland, OR",1577,Aaron Rubio,aaronkrubio
Fri Sep 07 15:55:58 +0000 2018,0,78523300 ,0,Mon Feb 05 13:25:50 +0000 2018,1,0,13096,446,482,0,0,960504743079575000 ,2,Earth,8035,TR鬲MP RO噩KS,TacomaCharras
Fri Sep 07 15:55:27 +0000 2018,0,25073877 ,0,Tue Sep 01 18:52:08 +0000 2015,0,0,14445,1633,2201,1,1,3515319143 ,40,"Homosassa Springs, FL",35135,Betty Jo Bunker,BettyJo_Aunt
Fri Sep 07 15:54:44 +0000 2018,0,25073877 ,0,Thu Mar 19 15:46:07 +0000 2009,1,0,130777,220,468,1,0,25321696 ,17,San Francisco,51236,EAS,ellescott1
Fri Sep 07 15:54:27 +0000 2018,1,1383272101 ,0,Thu Sep 23 04:21:03 +0000 2010,1,0,40488,3565,2916,0,0,193989105 ,1,Jersey shore,7109,Julie M is not Anonymous,exurbanmermaid
Fri Sep 07 15:53:59 +0000 2018,0,45055696 ,0,Wed Apr 08 22:19:13 +0000 2015,1,0,222,120,995,0,0,3145353938 ,1,,192,Aimee McKinney,aimee_mckinney
Fri Sep 07 15:53:15 +0000 2018,0,25073877 ,0,Mon Sep 01 22:40:41 +0000 2008,0,0,6054,1958,1923,0,1,16089050 ,170,CT,3671,Tim Goral,timgoral
Fri Sep 07 15:53:01 +0000 2018,3,903396856776011000 ,2,Sun Feb 26 11:52:30 +0000 2017,0,0,29131,4565,4501,1,1,835819827335950000 ,11,"Florida, USA",71850,Samus Aran,SamusAran2020
Fri Sep 07 15:52:16 +0000 2018,0,1089924955 ,2,Mon Jan 14 19:23:18 +0000 2013,1,0,266,229,763,0,0,1089924955 ,4,"Orlando, FL",2211,Jagsfreak,MMolter904
Fri Sep 07 15:51:58 +0000 2018,0,1492281 ,0,Fri Aug 11 01:11:39 +0000 2017,1,0,1852,55061,1244,0,0,895814938995957000 ,317,"Vancouver, British Columbia",153345,Thread Reader App,threadreaderapp
Fri Sep 07 15:51:45 +0000 2018,0,415859364 ,0,Wed Oct 12 03:43:08 +0000 2011,1,0,33,38,129,0,0,389262589 ,19,toronto ,898,Kenjah,SKenile
Fri Sep 07 15:51:26 +0000 2018,37,25073877 ,5,Tue Nov 04 13:23:00 +0000 2014,0,0,550,10769,10781,0,1,2860602249 ,4,The Island,1182,Ask the Chief,Ask_TheChief
Fri Sep 07 15:50:51 +0000 2018,0,993983163654463000 ,0,Tue May 08 22:37:08 +0000 2018,1,0,2669,175,550,0,0,993983163654463000 ,1,"Birmingham, AL",2200,Robin Y. Stewart,SoTuffRob10DST
Fri Sep 07 15:50:11 +0000 2018,0,1260217903 ,0,Tue Jan 19 01:57:56 +0000 2010,0,0,4680,2451,1562,0,1,106279352 ,57,"Ferguson, MO",3801,Cora Faith Walker,CoraFaith4MO
Fri Sep 07 15:49:52 +0000 2018,0,415859364 ,0,Thu Jan 28 23:47:32 +0000 2010,0,0,12398,1755,918,1,0,109410559 ,72,,3170,Edward Menicheschi,EMenicheschi
Fri Sep 07 15:49:39 +0000 2018,7,509308474 ,7,Wed Feb 29 21:59:48 +0000 2012,1,0,7650,4837,4980,1,0,509308474 ,14,"Baldwin County, Alabama",7676,Baldwin Democrats,BaldwinDemocrat
Fri Sep 07 15:49:31 +0000 2018,0,195806875 ,0,Fri Feb 14 20:42:41 +0000 2014,1,0,48176,752,1576,1,1,2344092764 ,19,"Garland, TX",28628,Anonymous White House Official,FCDallasMom2
Fri Sep 07 15:49:21 +0000 2018,1,24005641 ,0,Tue Sep 08 20:25:26 +0000 2009,0,0,41904,2646,4963,0,0,72657673 ,24,Planet Earth,14932,LA,FWLeila
Fri Sep 07 15:49:11 +0000 2018,0,25073877 ,0,Fri Dec 09 21:48:04 +0000 2011,1,0,3807,36,134,1,0,432872820 ,0,,1250,Gilbert Lomeli,GilbertLomeli
Fri Sep 07 15:49:09 +0000 2018,0,4161460941 ,0,Wed Nov 11 04:54:36 +0000 2015,1,0,7,4,21,0,0,4161460941 ,0,"Chicago, IL",17,Pamela Gieseke,GiesekePamela
Fri Sep 07 15:49:06 +0000 2018,0,25073877 ,0,Sun Sep 18 23:14:12 +0000 2016,0,0,5577,1945,2198,0,0,777646935704342000 ,1,"Oakland, CA",4805,ROBIN,tmigratorius808
Fri Sep 07 15:48:57 +0000 2018,0,17579312 ,0,Sat Sep 20 14:21:44 +0000 2008,0,0,78015,2756,5001,0,0,16377959 ,323,"New York, NY",94964,SteveBrant,SteveBrant
Fri Sep 07 15:48:52 +0000 2018,0,22956220 ,0,Thu Apr 29 00:06:54 +0000 2010,0,0,666,117,156,1,0,138227122 ,9,"Portland, OR",2756,PDXJ,PDXJW
Fri Sep 07 15:48:01 +0000 2018,0,25073877 ,0,Sat Aug 26 00:15:31 +0000 2017,1,0,2676,35,136,0,0,901236631444893000 ,0,"Oklahoma City, OK",225,Lisa Kuntz,keksmom
Fri Sep 07 15:47:47 +0000 2018,0,358545917 ,0,Thu Oct 27 11:20:47 +0000 2011,0,0,1696,113,330,1,1,399352544 ,0,United States,1951,Tyson,OldSchoolMLNL
Fri Sep 07 15:46:06 +0000 2018,0,25073877 ,0,Wed Jul 06 03:48:21 +0000 2016,1,1,2596,42,209,0,0,750536838188785000 ,0,,931,T-Lo,tloordden
Fri Sep 07 15:45:49 +0000 2018,0,992081976 ,0,Fri May 12 20:42:20 +0000 2017,1,0,74612,3892,3989,0,1,863132253068574000 ,9,"California, USA",43350,sherry わReality Winner,sherry_bath
Fri Sep 07 15:44:34 +0000 2018,0,32626129 ,0,Thu Sep 27 14:22:41 +0000 2012,1,0,8592,256,553,0,0,849345176 ,23,,25802,Trinitydawn,shelbyricher
Fri Sep 07 15:44:27 +0000 2018,8,25073877 ,1,Thu Apr 07 18:23:36 +0000 2011,0,0,31219,9521,10449,1,1,278661432 ,132,"California, USA",15476,Matt,nosoupforgeorge
Fri Sep 07 15:44:12 +0000 2018,0,25073877 ,0,Wed May 31 06:31:52 +0000 2017,1,0,4247,5605,5038,0,1,869803598045036000 ,6,"Los Angeles, CA",2746,Angry (Former) Republican,AngryRepublica3
Fri Sep 07 15:44:02 +0000 2018,0,18851248 ,0,Sat Sep 20 14:21:44 +0000 2008,0,0,78015,2756,5001,0,0,16377959 ,323,"New York, NY",94964,SteveBrant,SteveBrant
Fri Sep 07 15:40:57 +0000 2018,0,415859364 ,0,Wed Jul 27 11:53:22 +0000 2011,1,0,791,817,526,1,1,343325219 ,21,"Lagos, New Nigeria",11334,Samuel StSam Adeyemi,stsamadeyemi
Fri Sep 07 15:39:28 +0000 2018,0,415859364 ,0,Sat Apr 25 22:39:17 +0000 2009,0,0,615,114,263,0,1,35330373 ,5,"Rapid City, SD",2093,Chris Mooney,ChrisMooneySD
Fri Sep 07 15:39:09 +0000 2018,0,45055696 ,0,Sun Jan 10 01:29:59 +0000 2016,1,0,8180,171,610,1,0,4759634799 ,6, ,4085,Jeannette Blackwell,BlackwellJeann1
Fri Sep 07 15:38:11 +0000 2018,0,45055696 ,0,Mon Oct 31 01:41:47 +0000 2016,1,0,479,5,23,0,1,792904369045987000 ,0,,316,Muringi N.,MigradyN
Fri Sep 07 15:38:01 +0000 2018,0,2889924959 ,0,Tue Dec 29 18:33:46 +0000 2015,0,0,69285,1154,880,1,1,4674156265 ,11,Vancouver BC Canada,40596, D'Typsy Gypsy ,DGypsy62
Fri Sep 07 15:37:19 +0000 2018,0,7663702 ,0,Thu Jan 13 07:45:46 +0000 2011,1,0,1164,9,88,0,0,237628709 ,0,,924,D O,MZDLO75
Fri Sep 07 15:37:13 +0000 2018,1,25073877 ,0,Sat Jul 09 20:42:11 +0000 2011,1,0,1550,213,581,0,1,332448754 ,22,Panama City Florida,6671,Jonathon,JMoore4LSU
Fri Sep 07 15:37:10 +0000 2018,0,60305564 ,0,Sun Jul 26 13:36:13 +0000 2009,1,0,988,86,364,1,0,60305564 ,4,,1969,David Wilson,Adriano090
Fri Sep 07 15:36:33 +0000 2018,0,415859364 ,0,Sun Mar 11 17:13:15 +0000 2018,1,0,20,46,48,0,0,972883160089243000 ,0,"Denver, CO",244,Andrew Pancroft,pancroft_andrew
Fri Sep 07 15:35:28 +0000 2018,0,34442404 ,0,Sat Oct 22 12:25:47 +0000 2011,0,0,1563,103,403,0,0,395890714 ,10,Sheffield,6250,Dan Xepha,DanXepha
Fri Sep 07 15:34:33 +0000 2018,0,25073877 ,0,Fri May 22 14:36:28 +0000 2009,0,0,2303,3048,3154,1,0,41822975 ,34,"Malibu, CA",11055,The Johnny Lama,KineticCycling
Fri Sep 07 15:33:59 +0000 2018,2,22891214 ,0,Fri Oct 02 20:17:52 +0000 2015,1,1,605,9,61,1,0,3846027382 ,0,,147,Toni M CollNd,TCollnd
Fri Sep 07 15:33:57 +0000 2018,0,2975629388 ,0,Fri Mar 22 08:42:02 +0000 2013,1,0,3760,94,82,1,1,1288163119 ,0,"Broome, Western Australia",1080,Liam O'Connor,LocBilly
Fri Sep 07 15:33:56 +0000 2018,3,25073877 ,3,Sat Aug 04 14:58:09 +0000 2018,1,0,3460,1589,1745,0,0,1025757787991740000 ,0,"Washington, DC",4974,ClassyBenzLady,ClassyBenzLady
